H*,-0.501035723,,,H*,formation ,kcal/mol,,specie,,specie,any,any,specie,VIP,,specie,any,,VEA,,,,,,,,,,,,,,,,μAu,M6,M6CH4,M6CH3,M6H2O2,M6HO,,,,,,,,,,,,,,,
,zero,Gibbs,,,zero,Gibbs,0,,1.090,0,8.16,7.787,7.407,8.144,,-1.301,-1.09,-2.434,-2.798,,,,,,,,,,,,,,,,0,0,0,0.1,0,0.114,,,,,,,,,,,,,,,
CH3*,-39.769214,-39.787962,,CH3*,4.33,4.29,1,,,1,8.275,7.827,7.183,8.048,,-0.957,-1.449,-1.577,-1.65,,,,,,,,,,,,,,,,1,-0.112,-0.111,0.039,-0.118,0.025,,,,,,,,,,,,,,,
CH4,-40.429358,-40.446672,,CH4,,,2,,,2,7.078,6.912,7.694,8.06,,-1.458,-1.411,-1.395,-1.848,,,,,,,,,,,,,,,,2,0.107,0.123,-0.046,0.138,0.067,,,,,,,,,,,,,,,
OH*,-75.676995,-75.693918,,OH*,2.01,1.69,3,,,3,6.113,6.292,6.803,7.03,,-1.056,-1.152,-1.152,-0.874,,,,,,,,,,,,,,,,3,0.079,0.052,0.052,0.096,0.024,,,,,,,,,,,,,,,
H2O2,-151.427854,-151.450102,,H2O2,,,4,,,4,5.731,5.663,6.369,6.805,,-0.648,-0.891,-1.264,-0.475,,,,,,,,,,,,,,,,4,0.028,0.056,0.143,0.066,0.041,,,,,,,,,,,,,,,
CH3OH,-115.585806,-115.608557,,CH3OH,-3.80,-3.45,5,,,5,6.093,6.278,5.8,6.679,,-0.877,-0.915,-0.711,-1.188,,,,,,,,,,,,,,,,5,0.105,0.158,-0.09,0.162,0.287,,,,,,,,,,,,,,,
H2O,-76.35581,-76.373444,,H2O,-4.84,-4.86,6,,,6,5.793,6.235,5.98,6.437,,-1.105,-0.718,-0.955,-0.8,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
,,,,,Fen,,7,,,promedio MC-H,6.514,6.535,,,,promedio MC-H,-1.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au6,-812.747991,-812.797626,,Au6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μFe,M6,M6CH4,M6CH3,M6H2O2,M6HO,,,,,,,,,,,,,,,
Au5Fe,-1940.813563,-1940.864383,,Au5Fe,1,4,,,,,,,specie,any,any,homo-lumo gap,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Au4Fe2,-3068.879398,-3068.929364,,Au4Fe2,2,9,,Fe0,G reacción,Au6,,,9.594,9.012,9.05,9.96,,,,,,,,,,,,,,,,,,,1,3.561,3.557,3.745,3.566,3.682,,,,,,,,,,,,,,,
Au3Fe3,-4196.910255,-4196.95805,,Au3Fe3,3,12,,1,-1817.492026,0.000,,,9.84,10.035,8.873,9.794,,,,,,,,,,,,,,,,,,,2,3.786,3.752,3.633,3.713,3.29,,,,,,,,,,,,,,,
