cluster,d_au_au_ang,d_fe_fe_ang,d_au_fe_ang,ch4_d_ch_ang,ch4_freq_cm1,h2o2_d_oo_ang,h2o2_freq_cm1
Au6,2.725,0.000,0.000,1.092,3162,1.425,998
Au5Fe,2.725,0.000,2.610,1.091,3177,1.424,976
Au4Fe2,3.081,2.584,2.574,1.092,3175,1.426,972
Au3Fe3,2.482,0.000,2.615,1.094,3176,1.426,0983
Au2Fe4,2.483,0.000,2.650,1.095,3162,1.426,973
AuFe5,2.458,0.000,2.689,1.094,3148,1.430,970
Fe6,0.000,2.466,0.000,1.092,3153,1.430,980
cluster,d_au_au_ang,d_fe_fe_ang,d_au_fe_ang,ch4_d_ch_ang,ch4_freq_cm1,h2o2_d_oo_ang,h2o2_freq_cm1
Au6,2.725,0.000,0.000,1.092,3162,1.425,998
Au5Fe,2.725,0.000,2.610,1.091,3177,1.424,976
Au4Fe2,3.081,2.584,2.574,1.092,3175,1.426,972
Au3Fe3,2.482,0.000,2.615,1.094,3176,1.426,983
Au2Fe4,2.483,0.000,2.650,1.095,3162,1.426,973
AuFe5,2.458,0.000,2.689,1.094,3148,1.430,970
Fe6,0.000,2.466,0.000,1.092,3153,1.430,980

